CUSTOMER_ID,CUSTOMER_NAME_JP,JMB_TIER,COUNTRY_JP,AGE_GROUP,GENDER_JP,JMB_MEMBER_SINCE
200001,田中 直樹,サファイア,日本,20代,男性,2022-02-19
200002,鈴木 花子,サファイア,日本,20代,女性,2022-04-23
200003,中村 Elizabeth,クリスタル,韓国,20代,女性,2010-12-14
200004,小林 さくら,一般,日本,40代,女性,2008-02-13
200005,山田 Michael,クリスタル,韓国,20代,男性,2019-09-04
200006,佐藤 綾,一般,オーストラリア,40代,女性,2023-04-23
200007,鈴木 亮,クリスタル,イギリス,20代,男性,2012-02-13
200008,松本 Patricia,クリスタル,日本,30代,女性,2013-12-22
200009,清水 拓也,一般,シンガポール,30代,男性,2019-07-09
200010,John Johnson,サファイア,アメリカ,20代,男性,2015-07-09
200011,山本 John,一般,日本,50代以上,男性,2019-03-09
200012,中村 直樹,一般,タイ,50代以上,男性,2016-04-05
200013,佐藤 美咲,プレミア,オーストラリア,30代,女性,2018-10-03
200014,佐々木 Elizabeth,クリスタル,シンガポール,20代,女性,2008-11-18
200015,Mary Jones,クリスタル,アメリカ,30代,女性,2019-01-24
200016,木村 明日香,一般,シンガポール,40代,女性,2021-10-07
200017,山田 拓也,一般,シンガポール,20代,男性,2015-08-01
200018,山田 誠,プレミア,日本,20代,男性,2007-12-16
200019,大輔 Jones,一般,イギリス,30代,男性,2013-09-28
200020,山本 由美,クリスタル,タイ,40代,女性,2019-09-15
200021,中村 亮,クリスタル,日本,30代,男性,2023-04-01
200022,一郎 Williams,プレミア,イギリス,20代,男性,2015-02-17
200023,小林 William,一般,日本,50代以上,男性,2012-08-26
200024,山本 愛,一般,日本,40代,女性,2018-07-15
200025,翔 Johnson,一般,アメリカ,40代,男性,2008-04-07
200026,林 Robert,一般,日本,40代,男性,2019-04-28
200027,松本 翔,一般,日本,20代,男性,2007-04-06
200028,井上 Barbara,一般,日本,20代,女性,2010-07-01
200029,小林 Elizabeth,一般,日本,50代以上,女性,2009-04-10
200030,鈴木 一郎,クリスタル,タイ,20代,男性,2023-08-17
200031,鈴木 Richard,一般,日本,20代,男性,2007-11-28
200032,佐々木 翔,サファイア,韓国,20代,男性,2007-07-22
200033,小林 由美,一般,中国,30代,女性,2013-07-05
200034,松本 Mary,一般,イギリス,20代,女性,2019-10-19
200035,佐藤 雄太,クリスタル,シンガポール,40代,男性,2007-04-12
200036,伊藤 Elizabeth,一般,オーストラリア,40代,女性,2021-01-22
200037,愛 Johnson,クリスタル,イギリス,20代,女性,2022-03-09
200038,清水 由美,クリスタル,タイ,40代,女性,2021-08-09
200039,佐藤 James,クリスタル,オーストラリア,20代,男性,2015-03-21
200040,伊藤 Elizabeth,一般,シンガポール,20代,女性,2008-02-23
200041,林 一郎,クリスタル,オーストラリア,30代,男性,2018-03-02
200042,山田 美咲,サファイア,日本,30代,女性,2008-06-25
200043,清水 さくら,一般,日本,30代,女性,2018-01-06
200044,Linda Garcia,クリスタル,イギリス,20代,女性,2017-01-28
200045,中村 由美,一般,オーストラリア,40代,女性,2014-04-08
200046,雄太 Johnson,クリスタル,シンガポール,20代,男性,2013-06-21
200047,Mary Johnson,プレミア,アメリカ,40代,女性,2010-10-09
200048,高橋 James,一般,日本,40代,男性,2018-10-17
200049,佐々木 雄太,ダイヤ,日本,50代以上,男性,2005-09-26
200050,山田 James,一般,日本,40代,男性,2015-11-28
